DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	3q24	3	144621363	intergenic	LOC105374140 - LOC105374141	105374140	105374141		143270	263246	rs800082-?	rs800082	0	800082	intergenic_variant	1	0.42	3E-6	5.522878745280337	(PKYRS)	0.12	[NR] pack years increase	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	12q21.2	12	77335605	intergenic	LOC105369855 - LOC105369856	105369855	105369856		18396	47615	rs1402279-?	rs1402279	0	1402279	intron_variant	1	0.95	5E-6	5.301029995663981	(EVNV)	1.51	[NR]	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	12q21.33	12	90683731	intergenic	LOC102724834 - LOC105369895	102724834	105369895		383	78072	rs1847461-?	rs1847461	0	1847461	intergenic_variant	1	0.94	8E-6	5.096910013008056	(CIGSTAT)	1.8	[NR]	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	16p13.3	16	7786295	intergenic	RBFOX1 - LOC105371069	54715	105371069		72952	68830	rs3112740-?	rs3112740	0	3112740	intergenic_variant	1	0.86	6E-6	5.221848749616356	(CPDBI)	2.16	[NR]	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	3q27.2	3	185904041	intergenic	IGF2BP2 - TRA2B	10644	6434		78990	10527	rs6444087-?	rs6444087	0	6444087	intergenic_variant	1	0.26	9E-6	5.045757490560675	(EVNV)	1.28	[NR]	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	9q31.1	9	101860586	intergenic	LOC105376187 - ARL2BPP7	105376187	100131629		11733	193277	rs10989661-?	rs10989661	0	10989661	intergenic_variant	1	0.74	6E-6	5.221848749616356	(CIGSTAT)	1.68	[NR]	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	9p21.2	9	26789942	intergenic	LOC105376000 - LOC107987028	105376000	107987028		65005	7354	rs1889899-?	rs1889899	0	1889899	downstream_gene_variant	1	0.37	6E-6	5.221848749616356	(EVNV)	1.26	[NR]	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	5q14.3	5	91466931	LOC133789	ARRDC3-AS1 - RAB5CP2	100129716	133789		46216	9480	rs933688-?	rs933688	0	933688	intergenic_variant	1	0.17	6E-6	5.221848749616356	(EVNV)	1.48	[NR]	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	4q28.1	4	125510764	intergenic	MIR2054 - NUP58P1	100302267	100289295		3457	170744	rs950063-?	rs950063	0	950063	downstream_gene_variant	1	0.39	9E-6	5.045757490560675	(SMKDU)	0.08	[NR] years decrease	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	1p22.3	1	87147675	AK002179	LINC01140			339524			rs7553864-?	rs7553864	0	7553864	intron_variant	0	0.39	3E-6	5.522878745280337	(SMKDU)	0.08	[NR] years increase	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	18q11.2	18	23141009	CABLES1	CABLES1			91768			rs11082304-?	rs11082304	0	11082304	intron_variant	0	0.49	6E-6	5.221848749616356	(SMKAGE)	0.03	[NR] years decrease	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	17p13.2	17	3883613	CAMKK1	CAMKK1			84254			rs758642-?	rs758642	0	758642	intron_variant	0	0.34	7E-6	5.154901959985743	(CPD)	0.08	[NR] cigarettes per day increase	Illumina [~ 518000]	N
2009-04-01	19247474	Caporaso N	2009-02-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/19247474	Genome-wide and candidate gene association study of cigarette smoking behaviors.	Smoking behavior	2,617 European ancestry smokers, 1,725 European ancestry controls	NA	19p12	19	19925367	ZNF505	ZNF93			81931			rs10411195-?	rs10411195	0	10411195	intron_variant	0	0.03	6E-6	5.221848749616356	(CPD)	0.21	[NR] cigarettes per day decrease	Illumina [~ 518000]	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking quantity	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	6q25.1	6	148520616	NR	SASH1			23328			rs1147857-?	rs1147857	0	1147857	intron_variant	0		2E-6	5.698970004336019				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking quantity	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	12q22	12	92324782	NR	LOC101930023			101930023			rs454217-?	rs454217	0	454217	intron_variant	0		2E-6	5.698970004336019				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking quantity	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	8q24.22	8	134624721	NR	ZFAT			57623			rs11166629-?	rs11166629	0	11166629	intron_variant	0		3E-6	5.522878745280337				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking quantity	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	9p24.2	9	4419154	NR	RNU6-694P - SLC1A1	106479872	6505		32598	71273	rs10814969-?	rs10814969	0	10814969	intergenic_variant	1		3E-6	5.522878745280337				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking quantity	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	9q21.33	9	87795307	NR	CTSL3P - LOC100420576	392360	100420576		8423	4200	rs12339094-?	rs12339094	0	12339094	downstream_gene_variant	1		3E-6	5.522878745280337				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking quantity	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	3q26.1	3	165919741	NR	BCHE - MTND4P17	590	100873242		82274	240273	rs4365667-?	rs4365667	0	4365667	intergenic_variant	1		5E-6	5.301029995663981				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking quantity	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	6q25.3	6	158186441	NR	GTF2H5			404672			rs4560672-?	rs4560672	0	4560672	intron_variant	0		8E-6	5.096910013008056				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking quantity	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	3p12.3	3	74585946	NR	CNTN3			5067			rs1374879-?	rs1374879	0	1374879	intergenic_variant	0		8E-6	5.096910013008056				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Age of smoking initiation	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	8q23.1	8	106077772	NR	ZFPM2-AS1 - SLC16A14P1	102723356	100128685		17269	137795	rs12541635-?	rs12541635	0	12541635	regulatory_region_variant	1		1E-6	6.0				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Age of smoking initiation	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	2p12	2	75957690	NR	LOC105374813 - SUCLA2P2	105374813	100129863		205594	148311	rs2583526-?	rs2583526	0	2583526	intergenic_variant	1		1E-6	6.0				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Age of smoking initiation	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	13q22.3	13	77447083	NR	LOC107984564 - LOC105370271	107984564	105370271		117296	16863	rs7317940-?	rs7317940	0	7317940	intergenic_variant	1		2E-6	5.698970004336019				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Age of smoking initiation	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	12q14.3	12	66510743	NR	GRIP1			23426			rs7956611-?	rs7956611	0	7956611	intron_variant	0		2E-6	5.698970004336019				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Age of smoking initiation	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	10p14	10	10647639	NR	CELF2			10659			rs7092313-?	rs7092313	0	7092313	regulatory_region_variant	0		2E-6	5.698970004336019				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Age of smoking initiation	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	20p11.21	20	22760259	NR	KRT18P3 - LOC105372567	170527	105372567		26168	12554	rs2424460-?	rs2424460	0	2424460	intergenic_variant	1		3E-6	5.522878745280337				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Age of smoking initiation	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	12p11.23	12	26759786	NR	ITPR2			3709			rs11048674-?	rs11048674	0	11048674	intron_variant	0		3E-6	5.522878745280337				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Age of smoking initiation	1,837 Bangladeshi ancestry males, 198 Bangladeshi ancestry females	NA	19q13.33	19	50501497	NR	EMC10			284361			rs1298062-?	rs1298062	0	1298062	downstream_gene_variant	0		7E-6	5.154901959985743				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking cessation	366 Bangladeshi ancestry former smoker males, 87 Bangladeshi ancestry former smoker females, 1,471 Bangladeshi ancestry current smoker males, 111 Bangladeshi ancestry current smoker females	NA	1p22.3	1	84891195	NR	LPAR3			23566			rs4243774-?	rs4243774	0	4243774	intron_variant	0		2E-6	5.698970004336019				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking cessation	366 Bangladeshi ancestry former smoker males, 87 Bangladeshi ancestry former smoker females, 1,471 Bangladeshi ancestry current smoker males, 111 Bangladeshi ancestry current smoker females	NA	22q12.3	22	35358420	NR	TOM1 - HMOX1	10043	3162		10426	22647	rs5755703-?	rs5755703	0	5755703	intergenic_variant	1		4E-6	5.3979400086720375				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking cessation	366 Bangladeshi ancestry former smoker males, 87 Bangladeshi ancestry former smoker females, 1,471 Bangladeshi ancestry current smoker males, 111 Bangladeshi ancestry current smoker females	NA	8q24.12	8	119544334	NR	LOC392264 - ENPP2	392264	5168		62866	12743	rs10102546-?	rs10102546	0	10102546	intergenic_variant	1		7E-6	5.154901959985743				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking cessation	366 Bangladeshi ancestry former smoker males, 87 Bangladeshi ancestry former smoker females, 1,471 Bangladeshi ancestry current smoker males, 111 Bangladeshi ancestry current smoker females	NA	7q31.2	7	115497954	NR	LINC01392 - LOC100506489	104355291	100506489		266599	181391	rs1918526-?	rs1918526	0	1918526	intergenic_variant	1		7E-6	5.154901959985743				Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking initiation	754 Bangladeshi ancestry never smoker males, 2,565 Bangladeshi ancestry never smoker females, 1,837 Bangladeshi ancestry ever smoker males, 198 Bangladeshi ancestry ever smoker females	NA	19q12	19	29595100	NR	VSTM2B - POP4	342865	10775		30545	11163	rs10414410-?	rs10414410	0	10414410	intergenic_variant	1		5E-6	5.301029995663981	(males)			Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking initiation	754 Bangladeshi ancestry never smoker males, 2,565 Bangladeshi ancestry never smoker females, 1,837 Bangladeshi ancestry ever smoker males, 198 Bangladeshi ancestry ever smoker females	NA	1q31.1	1	187692398	NR	LOC100967224 - SLC4A1APP2	100967224	100422527		57368	14155	rs953554-?	rs953554	0	953554	intergenic_variant	1		6E-6	5.221848749616356	(males)			Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking initiation	754 Bangladeshi ancestry never smoker males, 2,565 Bangladeshi ancestry never smoker females, 1,837 Bangladeshi ancestry ever smoker males, 198 Bangladeshi ancestry ever smoker females	NA	5q11.2	5	54580152	NR	SNX18			112574			rs1122401-?	rs1122401	0	1122401	regulatory_region_variant	0		4E-6	5.3979400086720375	(males)			Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking initiation	754 Bangladeshi ancestry never smoker males, 2,565 Bangladeshi ancestry never smoker females, 1,837 Bangladeshi ancestry ever smoker males, 198 Bangladeshi ancestry ever smoker females	NA	13q33.2	13	105787017	NR	LINC00343 - RNA5SP38	144920	100873370		25221	368355	rs7327673-?	rs7327673	0	7327673	intergenic_variant	1		4E-6	5.3979400086720375	(females)			Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking initiation	754 Bangladeshi ancestry never smoker males, 2,565 Bangladeshi ancestry never smoker females, 1,837 Bangladeshi ancestry ever smoker males, 198 Bangladeshi ancestry ever smoker females	NA	16q23.3	16	83619297	NR	CDH13			1012			rs9939760-?	rs9939760	0	9939760	intron_variant	0		9E-6	5.045757490560675	(females)			Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking initiation	754 Bangladeshi ancestry never smoker males, 2,565 Bangladeshi ancestry never smoker females, 1,837 Bangladeshi ancestry ever smoker males, 198 Bangladeshi ancestry ever smoker females	NA	21q22.3	21	46068418	NR	LOC105372842 - PSMA6P3	105372842	100874510		28885	3667	rs16978810-?	rs16978810	0	16978810	downstream_gene_variant	1		3E-7	6.522878745280337	(females)			Illumina [1211988] (imputed)	N
2014-10-28	24665060	Argos M	2014-03-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24665060	Genome-wide association study of smoking behaviours among Bangladeshi adults.	Smoking initiation	754 Bangladeshi ancestry never smoker males, 2,565 Bangladeshi ancestry never smoker females, 1,837 Bangladeshi ancestry ever smoker males, 198 Bangladeshi ancestry ever smoker females	NA	6p21.1	6	42594234	NR	UBR2			23304			rs9381199-?	rs9381199	0	9381199	missense_variant	0		2E-6	5.698970004336019	(females)			Illumina [1211988] (imputed)	N
